"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2023-07-11T23:41:29Z"
"Version","20230711234129"
"OfferCode","AmazonS3"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Availability","Storage Class","Volume Type","Fee Code","Fee Description","Group","Group Description","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Durability","From Region Code","Overhead","Region Code","serviceName","To Region Code"
"23F8QJNUYFV9VBKR","JRTCKXETXF","23F8QJNUYFV9VBKR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.015 per GB - EU (Stockholm) Data Transfer for Replication Time Control to US East (N. Virginia)","2023-07-01","0","Inf","GB","0.0150000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Outbound","EU (Stockholm)","AWS Region","US East (N. Virginia)","AWS Region","EUN1-USE1-S3RTC-Out-Bytes","",,"eu-north-1",,,"Amazon Simple Storage Service","us-east-1"
"23G73UT8J3AEVR4S","JRTCKXETXF","23G73UT8J3AEVR4S.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.06 per GB - Africa Data Transfer for Multi Region Access Points to Europe","2023-07-01","0","Inf","GB","0.0600000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Inbound","ZA","AWS Region","EU","AWS Region","ZA-EU-MRAP-In-Bytes","",,"",,,"Amazon Simple Storage Service",""
"23KK9NB24YVM9XDQ","JRTCKXETXF","23KK9NB24YVM9XDQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.03 per GB - flat fee for all bytes retrieved in Glacier Instant Retrieval","2023-07-01","0","Inf","GB","0.0300000000","USD",,"AmazonS3","Africa (Cape Town)","AWS Region",,,,,,"S3-API-GIR-Retrieval","Object Retrieval in Glacier Instant Retrieval",,,,,,"AFS1-Retrieval-GIR","",,,,"af-south-1","Amazon Simple Storage Service",
"23KTNFTVMBEW3TM8","JRTCKXETXF","23KTNFTVMBEW3TM8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0105 per GB-Mo for EarlyDelete-ZIA in Milan","2023-07-01","0","Inf","GB-Mo","0.0105000000","USD","Fee","AmazonS3","EU (Milan)","AWS Region",,,,"S3:EarlyDelete-ZIA","Pro-rated fee for objects deleted before 30 days in One Zone-Infrequent Access volume",,,,,,,,"EUS1-EarlyDelete-ZIA","",,,,"eu-south-1","Amazon Simple Storage Service",
"23R7RUQCJ7YPT9EP","JRTCKXETXF","23R7RUQCJ7YPT9EP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Africa (Cape Town) Data Transfer for Replication Time Control to US West (Oregon)","2023-07-01","0","Inf","GB","0.0000000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Inbound","Africa (Cape Town)","AWS Region","US West (Oregon)","AWS Region","USW2-AFS1-S3RTC-In-Bytes","",,"af-south-1",,,"Amazon Simple Storage Service","us-west-2"
"23UGYPPANSMQZ2YK","JRTCKXETXF","23UGYPPANSMQZ2YK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.036 per 1,000 PostObject requests to Glacier","2023-07-01","0","Inf","Requests","0.0000360000","USD",,"AmazonS3","Asia Pacific (Hong Kong)","AWS Region",,,,,,"S3-API-GLACIER-Tier1","POST requests to Glacier",,,,,,"APE1-Requests-GLACIER-Tier1","PostObject",,,,"ap-east-1","Amazon Simple Storage Service",
"24CJH9HHMCBRN4A8","JRTCKXETXF","24CJH9HHMCBRN4A8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Middle East (Bahrain) Data Transfer for Replication Time Control to US West (N. California)","2023-07-01","0","Inf","GB","0.0000000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Inbound","Middle East (Bahrain)","AWS Region","US West (N. California)","AWS Region","USW1-MES1-S3RTC-In-Bytes","",,"me-south-1",,,"Amazon Simple Storage Service","us-west-1"
"24CUMF3NR6AYHUNQ","JRTCKXETXF","24CUMF3NR6AYHUNQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0033 per GB - US West (N. California) InterRegion Outbound Base Data Transfer for MRAP to EU (London)","2023-07-01","0","Inf","GB","0.0033000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Outbound","US West (N. California)","AWS Region","EU (London)","AWS Region","USW1-EUW2-MRAP-Out-Bytes","MRAP-Dtransfer",,"us-west-1",,,"Amazon Simple Storage Service","eu-west-2"
"24JXZSGVSTWBCTQJ","JRTCKXETXF","24JXZSGVSTWBCTQJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per 1,000 PUT, COPY, POST or LIST requests to One Zone-Infrequent Access","2023-07-01","0","Inf","Requests","0.0000100000","USD","API Request","AmazonS3","Asia Pacific (Hong Kong)","AWS Region",,,,,,"S3-API-ZIA-Tier1","PUT/COPY/POST or LIST requests to One Zone-Infrequent Access",,,,,,"APE1-Requests-ZIA-Tier1","",,,,"ap-east-1","Amazon Simple Storage Service",
"258RWKU9AUQN7CZT","JRTCKXETXF","258RWKU9AUQN7CZT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.021 per GB - Expedited Select Data Scanned Bytes","2023-07-01","0","Inf","GB","0.0210000000","USD","Fee","AmazonS3","EU (Paris)","AWS Region",,,,"S3-Expedited-Select-Scanned","Fee for Select Data Scanned using Expedited tier",,,,,,,,"EUW3-Exp-Select-Scanned-Bytes","",,,,"eu-west-3","Amazon Simple Storage Service",
"25CNTME9AT5NU2Q4","JRTCKXETXF","25CNTME9AT5NU2Q4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.015 per GB - Middle East (UAE) Data Transfer for Replication Time Control to Middle East (Bahrain)","2023-07-01","0","Inf","GB","0.0150000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Outbound","Middle East (UAE)","AWS Region","Middle East (Bahrain)","AWS Region","MEC1-MES1-S3RTC-Out-Bytes","",,"me-central-1",,,"Amazon Simple Storage Service","me-south-1"
"25FQ3PD5ZJE73GJF","JRTCKXETXF","25FQ3PD5ZJE73GJF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0 per GB for S3-DT-AWS Inbound","2023-07-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AmazonS3",,,,,,,,,,"AWS Inbound","External","Other","US West (N. California)","AWS Region","USW1-DataTransfer-In-Bytes","",,"",,,"Amazon Simple Storage Service","us-west-1"
"26653E2WV53KK96A","JRTCKXETXF","26653E2WV53KK96A.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.021 per GB Standard retrieval fee from Glacier Deep Archive in EU (London)","2023-07-01","0","Inf","GB","0.0210000000","USD",,"AmazonS3","EU (London)","AWS Region",,,,"S3-Standard-Retrieval","Fee for Standard Retrieval of data stored from Glacier Deep Archive",,,,,,,,"EUW2-Standard-Retrieval-Bytes","DeepArchiveRestoreObject",,,,"eu-west-2","Amazon Simple Storage Service",
"26CFYY6NGRFDCTNF","JRTCKXETXF","26CFYY6NGRFDCTNF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.005 per GB for S3-API-OL-BytesReturned in Canada (Central)","2023-07-01","0","Inf","GB","0.0050000000","USD",,"AmazonS3","Canada (Central)","AWS Region",,,,,,"S3-API-OL-BytesReturned","Bytes Returned by OL APs",,,,,,"CAN1-S3-API-OL-BytesReturned","",,,,"ca-central-1","Amazon Simple Storage Service",
"26EY5Q656QEFV8J2","JRTCKXETXF","26EY5Q656QEFV8J2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0125 per GB-Month prorated for objects deleted or overwritten before 30 days in Standard-Infrequent Access","2023-07-01","0","Inf","GB-Mo","0.0125000000","USD","Fee","AmazonS3","US East (N. Virginia)","AWS Region",,,,"S3:EarlyDelete-SIA","Pro-rated fee for objects deleted before 30 days in Standard-Infrequent Access volume",,,,,,,,"EarlyDelete-SIA","",,,,"us-east-1","Amazon Simple Storage Service",
"26KQKEEQKKRJUHKC","JRTCKXETXF","26KQKEEQKKRJUHKC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00200 per GB - for bytes scanned by S3 Select in Standard-Infrequent Access","2023-07-01","0","Inf","GB","0.0020000000","USD","API Request","AmazonS3","EU (Ireland)","AWS Region",,,,,,"S3-API-SIA-Select-Scanned","Data Scanned by S3 Select in Standard-Infrequent Access",,,,,,"EU-Select-Scanned-SIA-Bytes","",,,,"eu-west-1","Amazon Simple Storage Service",
"26MZKT5Z5ZAJ32FJ","JRTCKXETXF","26MZKT5Z5ZAJ32FJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.015 per GB - Australia-Asia Pacific Data Transfer for Multi Region Access Points to India-Asia Pacific","2023-07-01","0","Inf","GB","0.0150000000","USD",,"AmazonS3",,,,,,,,,,"IntraRegion Outbound","AU","AWS Region","IN","AWS Region","IN-AU-MRAP-Out-Bytes","",,"",,,"Amazon Simple Storage Service",""
"26NSZKCPFFZ6D8JR","JRTCKXETXF","26NSZKCPFFZ6D8JR.JRTCKXETXF.E4EFPBSQ6U","OnDemand","$0.20 per MM objects per monthfor the first 25B objects for Storage Lens to Europe (London)","2023-07-01","0","25000000000","Objects","0.0000002000","USD","Fee","AmazonS3","EU (London)","AWS Region",,,,"S3-StorageLens","Per object fee for objects included in Storage Lens",,,,,,,,"EUW2-StorageLens-ObjCount","StorageLens",,,,"eu-west-2","Amazon Simple Storage Service",
"26NSZKCPFFZ6D8JR","JRTCKXETXF","26NSZKCPFFZ6D8JR.JRTCKXETXF.VZVC66HZSM","OnDemand","$0.16 per MM objects per month for 25B to 100B objects for Storage Lens to Europe (London)","2023-07-01","25000000000","100000000000","Objects","0.0000001600","USD","Fee","AmazonS3","EU (London)","AWS Region",,,,"S3-StorageLens","Per object fee for objects included in Storage Lens",,,,,,,,"EUW2-StorageLens-ObjCount","StorageLens",,,,"eu-west-2","Amazon Simple Storage Service",
"26NSZKCPFFZ6D8JR","JRTCKXETXF","26NSZKCPFFZ6D8JR.JRTCKXETXF.WQM8VUGNUA","OnDemand","$0.12 per MM objects per month for 100B+ objects for Storage Lens to Europe (London)","2023-07-01","100000000000","Inf","Objects","0.0000001200","USD","Fee","AmazonS3","EU (London)","AWS Region",,,,"S3-StorageLens","Per object fee for objects included in Storage Lens",,,,,,,,"EUW2-StorageLens-ObjCount","StorageLens",,,,"eu-west-2","Amazon Simple Storage Service",
"26RCYMSNKW9ZG95V","JRTCKXETXF","26RCYMSNKW9ZG95V.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.015 per GB - US West (N. California) Data Transfer for Replication Time Control to US West (N. California)","2023-07-01","0","Inf","GB","0.0150000000","USD",,"AmazonS3",,,,,,,,,,"IntraRegion Outbound","US West (N. California)","AWS Region","US West (N. California)","AWS Region","USW1-USW1-S3RTC-Out-Bytes","",,"us-west-1",,,"Amazon Simple Storage Service","us-west-1"
"26TUJV6FNGAN44UY","JRTCKXETXF","26TUJV6FNGAN44UY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.03 per GB - for bytes returned by S3 Select in Glacier Instant Retrieval","2023-07-01","0","Inf","GB","0.0300000000","USD","API Request","AmazonS3","US East (N. Virginia)","AWS Region",,,,,,"S3-API-GIR-Select-Returned","Data Returned by S3 Select in Glacier Instant Retrieval",,,,,,"Select-Returned-GIR-Bytes","",,,,"us-east-1","Amazon Simple Storage Service",
"26UFWKSK8T4EQN2M","JRTCKXETXF","26UFWKSK8T4EQN2M.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0033 per GB - US West (Oregon) InterRegion Inbound Base Data Transfer for MRAP to Australia (Sydney)","2023-07-01","0","Inf","GB","0.0033000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Inbound","US West (Oregon)","AWS Region","Asia Pacific (Sydney)","AWS Region","APS2-USW2-MRAP-In-Bytes","MRAP-Dtransfer",,"us-west-2",,,"Amazon Simple Storage Service","ap-southeast-2"
"26W7JFJT7AYMQASS","JRTCKXETXF","26W7JFJT7AYMQASS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0033 per GB - EU (London) InterRegion Outbound Base Data Transfer for MRAP to EU (Stockholm)","2023-07-01","0","Inf","GB","0.0033000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Outbound","EU (London)","AWS Region","EU (Stockholm)","AWS Region","EUW2-EUN1-MRAP-Out-Bytes","MRAP-Dtransfer",,"eu-west-2",,,"Amazon Simple Storage Service","eu-north-1"
"2784NK63J9QBT6ZP","JRTCKXETXF","2784NK63J9QBT6ZP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.012 per GB - Standard Select Data Returned Bytes","2023-07-01","0","Inf","GB","0.0120000000","USD","Fee","AmazonS3","Asia Pacific (Sydney)","AWS Region",,,,"S3-Standard-Select-Returned","Fee for Select Data Returned using Standard tier",,,,,,,,"APS2-Std-Select-Returned-Bytes","",,,,"ap-southeast-2","Amazon Simple Storage Service",
"2794N6JDZRKWNXQC","JRTCKXETXF","2794N6JDZRKWNXQC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0012 per GB for Bulk-Select-Scanned-Bytes in Spain","2023-07-01","0","Inf","GB","0.0012000000","USD","Fee","AmazonS3","Europe (Spain)","AWS Region",,,,"S3-Bulk-Select-Returned","Fee for Select Data Returned using Bulk tier",,,,,,,,"EUS2-Bulk-Select-Scanned-Bytes","",,,,"eu-south-2","Amazon Simple Storage Service",
"27M9VWDF8P7MPHDN","JRTCKXETXF","27M9VWDF8P7MPHDN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.015 per GB - Asia Pacific (Hong Kong) Data Transfer for Replication Time Control to Asia Pacific (Hyderabad)","2023-07-01","0","Inf","GB","0.0150000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Outbound","Asia Pacific (Hong Kong)","AWS Region","Asia Pacific (Hyderabad)","AWS Region","APE1-APS5-S3RTC-Out-Bytes","",,"ap-east-1",,,"Amazon Simple Storage Service","ap-south-2"
"27TCGVXUBWHW6DKS","JRTCKXETXF","27TCGVXUBWHW6DKS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0033 per GB - EU (Stockholm) InterRegion Inbound Base Data Transfer for MRAP to Asia Pacific (Singapore)","2023-07-01","0","Inf","GB","0.0033000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Inbound","EU (Stockholm)","AWS Region","Asia Pacific (Singapore)","AWS Region","APS1-EUN1-MRAP-In-Bytes","MRAP-Dtransfer",,"eu-north-1",,,"Amazon Simple Storage Service","ap-southeast-1"
"27U79AAHHAX6MY79","JRTCKXETXF","27U79AAHHAX6MY79.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Asia Pacific (Seoul) Data Transfer for Replication Time Control to Asia Pacific (Hong Kong)","2023-07-01","0","Inf","GB","0.0000000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Inbound","Asia Pacific (Seoul)","AWS Region","Asia Pacific (Hong Kong)","AWS Region","APE1-APN2-S3RTC-In-Bytes","",,"ap-northeast-2",,,"Amazon Simple Storage Service","ap-east-1"
"287RQSKH67WW3CPX","JRTCKXETXF","287RQSKH67WW3CPX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0 per GB for S3-DT-InterRegion Inbound","2023-07-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AmazonS3",,,,,,,,,,"InterRegion Inbound","US West (Oregon)","AWS Region","Amazon CloudFront","AWS Edge Location","USW2-CloudFront-In-Bytes","",,"us-west-2",,,"Amazon Simple Storage Service",""
"28E6SZTSXCUD3A5A","JRTCKXETXF","28E6SZTSXCUD3A5A.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.033 per 1,000 Glacier Requests","2023-07-01","0","Inf","Requests","0.0000330000","USD",,"AmazonS3","EU (Ireland)","AWS Region",,,,,,"S3-API-Tier3","Lifecycle Transition Requests into Glacier",,,,,,"EU-Requests-Tier3","S3-GlacierTransition",,,,"eu-west-1","Amazon Simple Storage Service",
"28ER9YVYS42RSASG","JRTCKXETXF","28ER9YVYS42RSASG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.011 per GB-Mo for EarlyDelete-ZIA in Asia Pacific (Hyderabad)","2023-07-01","0","Inf","GB-Mo","0.0110000000","USD","Fee","AmazonS3","Asia Pacific (Hyderabad)","AWS Region",,,,"S3:EarlyDelete-ZIA","Pro-rated fee for objects deleted before 30 days in One Zone-Infrequent Access volume",,,,,,,,"APS5-EarlyDelete-ZIA","",,,,"ap-south-2","Amazon Simple Storage Service",
"28FR3YF4A8BU4RKN","JRTCKXETXF","28FR3YF4A8BU4RKN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00405 per Gigabyte Month for TimedStorage-INT-AA-ByteHrs:INTAAObjectOverhead in Africa (Cape Town)","2023-07-01","0","Inf","Gigabyte Month","0.0040500000","USD","Storage","AmazonS3","Africa (Cape Town)","AWS Region","N/A","Intelligent-Tiering","INTAAObjectOverhead",,,,,,,,,,"AFS1-TimedStorage-INT-AA-ByteHrs","INTAAObjectOverhead","N/A",,,"af-south-1","Amazon Simple Storage Service",
"28GTW95Q7B5PT55R","JRTCKXETXF","28GTW95Q7B5PT55R.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00044 per Requests for AdditionalRequest-INT:RestoreObject in US West (N. California)","2023-07-01","0","Inf","Requests","0.0004400000","USD",,"AmazonS3","US West (N. California)","AWS Region",,,,,,"S3-API-INT-AdditionalRequest","Restore Object",,,,,,"USW1-AdditionalRequest-INT","RestoreObject",,,,"us-west-1","Amazon Simple Storage Service",
"28NXPUTWWRRFSM58","JRTCKXETXF","28NXPUTWWRRFSM58.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0047 per 1,000 UploadPart requests to Glacier","2023-07-01","0","Inf","Requests","0.0000047000","USD",,"AmazonS3","Asia Pacific (Tokyo)","AWS Region",,,,,,"S3-API-GLACIER-Tier1","UploadPart to Glacier",,,,,,"APN1-Requests-GLACIER-Tier1","UploadPart",,,,"ap-northeast-1","Amazon Simple Storage Service",
"28VPAQ8N8CN9KT9Y","JRTCKXETXF","28VPAQ8N8CN9KT9Y.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per GB - for bytes returned by S3 Select in Standard-Infrequent Access","2023-07-01","0","Inf","GB","0.0100000000","USD","API Request","AmazonS3","EU (London)","AWS Region",,,,,,"S3-API-SIA-Select-Returned","Data Returned by S3 Select in Standard-Infrequent Access",,,,,,"EUW2-Select-Returned-SIA-Bytes","",,,,"eu-west-2","Amazon Simple Storage Service",
"28WQV2BW4XGY9KQC","JRTCKXETXF","28WQV2BW4XGY9KQC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.003 per GB - Bulk Select Data Returned Bytes","2023-07-01","0","Inf","GB","0.0030000000","USD","Fee","AmazonS3","Asia Pacific (Singapore)","AWS Region",,,,"S3-Bulk-Select-Returned","Fee for Select Data Returned using Bulk tier",,,,,,,,"APS1-Bulk-Select-Returned-Bytes","",,,,"ap-southeast-1","Amazon Simple Storage Service",
"2932YSDES5PDTQBD","JRTCKXETXF","2932YSDES5PDTQBD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.00 per 1 million object operations performed by Batch Operations","2023-07-01","0","Inf","Objects","0.0000010000","USD",,"AmazonS3","EU (Ireland)","AWS Region",,,,"S3-BatchOperations-Objects","Per object fee for object operations performed by Batch Operations",,,,,,,,"EU-BatchOperations-Objects","",,,,"eu-west-1","Amazon Simple Storage Service",
"295B3BGTKPBVFTWN","JRTCKXETXF","295B3BGTKPBVFTWN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per 10,000 GET and all other requests to One Zone-Infrequent Access","2023-07-01","0","Inf","Requests","0.0000010000","USD","API Request","AmazonS3","Asia Pacific (Seoul)","AWS Region",,,,,,"S3-API-ZIA-Tier2","GET and all other requests to One Zone-Infrequent Access",,,,,,"APN2-Requests-ZIA-Tier2","",,,,"ap-northeast-2","Amazon Simple Storage Service",
"295BHR725RUCG47A","JRTCKXETXF","295BHR725RUCG47A.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per 1,000 PUT, COPY, POST or LIST requests to One Zone-Infrequent Access","2023-07-01","0","Inf","Requests","0.0000100000","USD","API Request","AmazonS3","Asia Pacific (Tokyo)","AWS Region",,,,,,"S3-API-ZIA-Tier1","PUT/COPY/POST or LIST requests to One Zone-Infrequent Access",,,,,,"APN1-Requests-ZIA-Tier1","",,,,"ap-northeast-1","Amazon Simple Storage Service",
"29WYVK49S8JBC9SX","JRTCKXETXF","29WYVK49S8JBC9SX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0033 per GB - US West (N. California) InterRegion Inbound Base Data Transfer for MRAP to Asia Pacific (Seoul)","2023-07-01","0","Inf","GB","0.0033000000","USD",,"AmazonS3",,,,,,,,,,"InterRegion Inbound","US West (N. California)","AWS Region","Asia Pacific (Seoul)","AWS Region","APN2-USW1-MRAP-In-Bytes","MRAP-Dtransfer",,"us-west-1",,,"Amazon Simple Storage Service","ap-northeast-2"
"29ZA9PJUQAD4RFB6","JRTCKXETXF","29ZA9PJUQAD4RFB6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per 10,000 GET and all other requests  to One Zone-Infrequent Access","2023-07-01","0","Inf","Requests","0.0000010000","USD","API Request","AmazonS3","Middle East (Bahrain)","AWS Region",,,,,,"S3-API-ZIA-Tier2","GET and all other requests to One Zone-Infrequent Access",,,,,,"MES1-Requests-ZIA-Tier2","",,,,"me-south-1","Amazon Simple Storage Service",
